상호명,도로명주소,위도,경도,소분류,거리m
디딤스터디카페워크스페이스인하대센터,인천광역시 미추홀구 독배로 311,37.4481475031949,126.649122407213,독서실/스터디 카페,464
수만휘스파르타,인천광역시 미추홀구 독배로 311,37.4481475031949,126.649122407213,독서실/스터디 카페,464
플랜A인하대센터,인천광역시 미추홀구 독배로 309,37.4477965168313,126.649259659005,독서실/스터디 카페,469
스타벅스,인천광역시 미추홀구 독배로 309,37.4477965168313,126.649259659005,카페,469
백억커피인하대학교점,인천광역시 미추홀구 인하로77번길 37,37.4528576475444,126.657610666014,카페,474
봄봄스터디카페인하대센터,인천광역시 미추홀구 용정공원로83번길 59,37.4475084995122,126.649362712641,독서실/스터디 카페,476
유캔두잇,인천광역시 미추홀구 인하로 99,37.4506281379839,126.659338652029,카페,482
베스트카페,인천광역시 미추홀구 인하로47번길 71,37.4530737558906,126.657564473562,카페,490
카페뜰안,인천광역시 미추홀구 경인남길30번길 94-9,37.4508808081649,126.65947312431,카페,501
컴포즈커피인하헤리움점,인천광역시 미추홀구 용정공원로83번길 49,37.4475692869904,126.648593960303,카페,533
탭커피,인천광역시 미추홀구 용정공원로83번길 49,37.4475692869904,126.648593960303,카페,533
예손고시텔,인천광역시 미추홀구 경인남길30번길 100-9,37.4507918799459,126.659880381344,독서실/스터디 카페,533
달리는커피,인천광역시 미추홀구 용정공원로83번길 49,37.4475692869904,126.648593960303,카페,533
더벤티인하대헤리움점,인천광역시 미추홀구 용정공원로83번길 49,37.4475692869904,126.648593960303,카페,533
백억커피,인천광역시 미추홀구 용정공원로83번길 49,37.4475692869904,126.648593960303,카페,533
디아울,인천광역시 미추홀구 독배로317번길 15,37.448064028667,126.648320420143,독서실/스터디 카페,533
우지커피,인천광역시 미추홀구 독배로317번길 15,37.448064028667,126.648320420143,카페,533
그린페이스,인천광역시 미추홀구 인하로47번길 81,37.4531836096151,126.658162971151,카페,534
빈페이지,인천광역시 미추홀구 소성로 75,37.44569520631,126.657812819702,카페,558
오뉴,인천광역시 미추홀구 인하로47번길 85,37.4533374653845,126.658399610432,카페,561
컴포즈커피인하대,인천광역시 미추홀구 인하로105번길 16,37.4509913995317,126.660331539071,카페,577
카페나라,인천광역시 미추홀구 소성로 76,37.4453432606093,126.657622311085,카페,580
빙하빙수,인천광역시 미추홀구 독배로382번길 18,37.4535186173546,126.6494928847,카페,582
메가엠지씨커피인천용현SK점,인천광역시 미추홀구 독배로317번길 23-1,37.4479268932494,126.647654299392,카페,594
미바라운지스터디카페,인천광역시 미추홀구 독배로317번길 23-1,37.4479268932494,126.647654299392,독서실/스터디 카페,594
카페개러지,인천광역시 미추홀구 매소홀로 272,37.444374690386,126.652993507047,카페,599
이디야인하공전점,인천광역시 미추홀구 소성로 81,37.4454897745101,126.658435293784,카페,610
이디야인하공전점,인천광역시 미추홀구 소성로 81,37.4454897745101,126.658435293784,카페,610
해밀,인천광역시 미추홀구 인하로120번길 20,37.4490737668882,126.66086006675,독서실/스터디 카페,610
앞뜰,인천광역시 미추홀구 인하로105번길 28,37.4515506025929,126.660532439463,카페,612
공본스터디카페센터,인천광역시 미추홀구 매소홀로 262,37.4442287707885,126.652395254028,독서실/스터디 카페,625
공본스터디카페센터,인천광역시 미추홀구 매소홀로 262,37.4442287707885,126.652395254028,독서실/스터디 카페,625
커피시루,인천광역시 미추홀구 매소홀로 262,37.4442287707885,126.652395254028,카페,625
옥상카페,인천광역시 미추홀구 매소홀로 262,37.4442287707885,126.652395254028,카페,625
디저트39학익시티필드점,인천광역시 미추홀구 매소홀로 262,37.4442287707885,126.652395254028,카페,625
케이스카페,인천광역시 미추홀구 인하로120번길 21,37.4489121059477,126.661041615992,카페,628
피에스타7,인천광역시 미추홀구 독배로317번길 25,37.4478265025636,126.64722533042,카페,633
카페더스토리,인천광역시 미추홀구 경인북길 191,37.4541398427389,126.658565491262,카페,637
엘림,인천광역시 미추홀구 인하로120번길 19-1,37.448993681826,126.661210766334,독서실/스터디 카페,641
엘루새,인천광역시 미추홀구 인하로91번길 55,37.4513807106314,126.660985270687,독서실/스터디 카페,644
주란다방,인천광역시 미추홀구 독배로 382,37.4538138322745,126.648779484297,카페,649
무인카페나우커피,인천광역시 미추홀구 독배로 382,37.4538138322745,126.648779484297,카페,649
이화,인천광역시 미추홀구 인하로119번길 5,37.450255467753,126.661340692843,독서실/스터디 카페,651
아오미,인천광역시 미추홀구 용정공원로83번길 43,37.447627878373,126.647090650886,카페,652
디저트39인천미추홀점,인천광역시 미추홀구 용정공원로83번길 43,37.447627878373,126.647090650886,카페,652
더비하우스,인천광역시 미추홀구 용정공원로83번길 43,37.447627878373,126.647090650886,카페,652
카페망고망고,인천광역시 미추홀구 용정공원로83번길 43,37.447627878373,126.647090650886,카페,652
단지,인천광역시 미추홀구 인하로105번길 47,37.4524790520519,126.660675166304,카페,665
무니,인천광역시 미추홀구 용정공원로 33,37.451131202067,126.646554321674,카페,676
독서실/스터디카페,인천광역시 미추홀구 인하로119번길 17-2,37.4508057239442,126.661564242139,독서실/스터디 카페,679
대한민국특수임무유공자회,인천광역시 미추홀구 인주대로 138,37.4557438134662,126.652443687122,카페,686
대한민국고엽제전우회,인천광역시 미추홀구 인주대로 138,37.4557438134662,126.652443687122,카페,686
24시무인셀프카페,인천광역시 미추홀구 인하로119번길 21,37.4509772371138,126.661676484673,카페,692
원하우스,인천광역시 미추홀구 경인남길118번길 30-1,37.4529386581262,126.660706995502,독서실/스터디 카페,693
후키,인천광역시 미추홀구 한나루로489번길 116,37.4525700923706,126.661002506229,카페,696
메가엠지씨커피인천용현,인천광역시 미추홀구 독배로 383,37.4542185413615,126.648528947634,카페,697
민스커피,인천광역시 미추홀구 인주대로224번길 28,37.4528940948215,126.660876724009,카페,703
투고,인천광역시 미추홀구 인주대로132번길 12,37.4558317503043,126.651708633715,카페,711
파피바스켓,인천광역시 미추홀구 인주대로 148,37.4560795061467,126.653233294034,카페,713
메가엠지씨커피인천인주대로점,인천광역시 미추홀구 인주대로 175,37.4558912857121,126.656658748842,카페,727
투썸플레이스인천용마루점,인천광역시 미추홀구 독배로 395,37.4551302266657,126.649089788705,카페,743
오디디오,인천광역시 미추홀구 용정공원로 33,37.4482815828409,126.645742747325,카페,746
투썸플레이스인천독정이,인천광역시 미추홀구 독정이로 3,37.4563818302862,126.654938551022,카페,748
가버나움,인천광역시 미추홀구 인하로134번길 10,37.4490513309151,126.662464943575,카페,751
은빛빌,인천광역시 미추홀구 인하로47번길 127,37.4537949625228,126.660827448864,독서실/스터디 카페,755
굴뚝빵커피공장,인천광역시 미추홀구 인하로 129-2,37.4497997724547,126.66267630636,카페,766
메가엠지씨커피인천학산소극장점,인천광역시 미추홀구 인하로 129-2,37.4497997724547,126.66267630636,카페,766
이디야커피인천보훈,인천광역시 미추홀구 인주대로 147,37.4566211314574,126.653581166807,카페,770
아덴블랑제리인천,인천광역시 미추홀구 노적산로 1,37.4433848096219,126.650353789455,카페,772
깡순이케이크,인천광역시 미추홀구 인하로134번길 9,37.448979993097,126.662725192291,카페,774
데이지365,인천광역시 미추홀구 인하로134번길 7,37.4491513762496,126.66279223036,카페,779
포지티브커피클럽,인천광역시 미추홀구 인주대로 207,37.4548557035367,126.659975000646,카페,779
시에스타커피하우스,인천광역시 미추홀구 인하로133번길 29-22,37.4510612664857,126.662704546241,카페,783
카페텀벙,인천광역시 미추홀구 독배로403번길 5,37.4556894480788,126.649290616076,카페,785
보라카페,인천광역시 미추홀구 독정이로 8-3,37.4567699185292,126.65516281586,카페,793
아매리,인천광역시 미추홀구 인주대로238번길 30-6,37.452402752849,126.662348168555,카페,796
고커피,인천광역시 미추홀구 인주대로 125-1,37.4566495227376,126.65098148924,카페,817
카페오디디오,인천광역시 미추홀구 용정공원로 33,37.4520187175319,126.645058324192,카페,830
더벤티용현SK뷰점,인천광역시 미추홀구 용정공원로 33,37.4520187175319,126.645058324192,카페,830
필하우스,인천광역시 미추홀구 인하로47번길 164,37.4530431390335,126.662582628455,독서실/스터디 카페,844
컴포즈커피인천용현,인천광역시 미추홀구 독정이로 13-1,37.4572815057076,126.654482318511,카페,844
달롱도르요거트아이스크림,인천광역시 미추홀구 인하로133번길 30,37.4507751378664,126.663474332729,카페,845
플러스82미추홀점,인천광역시 미추홀구 한나루로477번길 66-5,37.4501086566569,126.66356772961,카페,846
별하우스,인천광역시 미추홀구 한나루로463번길 74,37.4488835563246,126.663663625797,독서실/스터디 카페,858
한결,인천광역시 미추홀구 인하로91번길 113,37.4505693552984,126.663983820542,독서실/스터디 카페,887
빽다방인하대역SK점,인천광역시 미추홀구 용정공원로 33,37.4478081755935,126.644117629334,카페,897
카페까망,인천광역시 미추홀구 인주대로137번길 24,37.4577353140097,126.652536193716,카페,903
마실까페,인천광역시 미추홀구 용삼길 13,37.4575667344785,126.650366890922,카페,932
마실카페,인천광역시 미추홀구 용삼길 13,37.4575667344785,126.650366890922,카페,932
달콩이커피공장,인천광역시 미추홀구 인주대로252번길 21,37.4521556579252,126.664168853578,카페,938
달콩커피,인천광역시 미추홀구 인주대로252번길 21,37.4521556579252,126.664168853578,카페,938
카페오슬로,인천광역시 미추홀구 독배로403번길 36,37.4565770645632,126.647817163837,카페,939
다맛차,인천광역시 미추홀구 한나루로489번길 52,37.451453553654,126.664409326107,카페,939
코타츠,인천광역시 미추홀구 한나루로489번길 52,37.451453553654,126.664409326107,카페,939
빽다방인천용현시장북문점,인천광역시 미추홀구 독정이로 24-1,37.4581547777883,126.654240946096,카페,940
우리동네빵집,인천광역시 미추홀구 인주대로94번길 10,37.4567199094651,126.647375700949,카페,975
진펠리스,인천광역시 미추홀구 한나루로501번길 45,37.4523286442566,126.664800977062,독서실/스터디 카페,997
나우커피,인천광역시 미추홀구 수봉남로17번길 24,37.4585384075057,126.656025000386,카페,999
